insertionSort
1000,0.0006
2000,0.00244
3000,0.006775
4000,0.010568
5000,0.015711
6000,0.021816
7000,0.029588
8000,0.039051
9000,0.049441
10000,0.060926
11000,0.073679
12000,0.088272
13000,0.103382
14000,0.119261
15000,0.137986
16000,0.156231
17000,0.174578
18000,0.197264
19000,0.216427
20000,0.241782
21000,0.263865
22000,0.2907
23000,0.319782
24000,0.344401
25000,0.373802
26000,0.404361
27000,0.43471
28000,0.470714
29000,0.504348
30000,0.540704
31000,0.579785
32000,0.621434
33000,0.658674
34000,0.70217
35000,0.735452
36000,0.784415
37000,0.827475
38000,0.86438
39000,0.921126
40000,0.975568
41000,1.01053
42000,1.06568
43000,1.11554
44000,1.17234
45000,1.21879
46000,1.27944
47000,1.32925
48000,1.38035
49000,1.44356
50000,1.50237
51000,1.55982
52000,1.63789
53000,1.69245
54000,1.82503
55000,1.88132
56000,1.95967
57000,2.03151
58000,2.10819
59000,2.1856
60000,2.16579
61000,2.24381
62000,2.31976
63000,2.38659
64000,2.45233
65000,2.56892
66000,2.6207
67000,2.82475
68000,2.87887
69000,2.98882
70000,3.05957
71000,3.17059
72000,3.23531
73000,3.34387
74000,3.29868
75000,3.40193
76000,3.4998
77000,3.62353
78000,3.76756
79000,3.91071
80000,3.94731
81000,3.97027
82000,4.26143
83000,4.17455
84000,4.30264
85000,4.47812
86000,4.65669
87000,4.80366
88000,4.82993
89000,4.89981
90000,4.88802
91000,4.99465
92000,5.14829
93000,5.32486
94000,5.34317
95000,5.47856
96000,5.5904
97000,5.78201
98000,5.8651
99000,6.10708
100000,6.29472
