selectionSort
1000,0.001197
1100,0.001465
1200,0.001721
1300,0.002261
1400,0.002411
1500,0.002722
1600,0.003092
1700,0.003565
1800,0.003993
1900,0.004337
2000,0.0048
2100,0.005281
2200,0.005796
2300,0.006281
2400,0.006549
2500,0.007055
2600,0.007687
2700,0.008236
2800,0.008825
2900,0.009486
3000,0.010213
3100,0.010835
3200,0.011522
3300,0.012263
3400,0.012975
3500,0.013787
3600,0.014548
3700,0.015363
3800,0.016222
3900,0.017032
4000,0.017963
4100,0.018827
4200,0.020251
4300,0.020791
4400,0.021669
4500,0.022671
4600,0.023673
4700,0.02478
4800,0.025737
4900,0.026842
5000,0.027935
5100,0.029058
5200,0.030197
5300,0.031371
5400,0.033952
5500,0.033789
5600,0.034986
5700,0.036245
5800,0.037528
5900,0.038811
6000,0.040195
6100,0.041537
6200,0.042832
6300,0.044251
6400,0.045644
6500,0.047072
6600,0.048585
6700,0.050102
6800,0.052592
6900,0.053165
7000,0.05629
7100,0.057293
7200,0.057669
7300,0.059505
7400,0.060956
7500,0.062557
7600,0.064728
7700,0.066026
7800,0.069225
7900,0.069423
8000,0.071259
8100,0.072953
8200,0.079301
8300,0.076682
8400,0.078436
8500,0.081812
8600,0.083709
8700,0.084144
8800,0.086032
8900,0.088057
9000,0.09017
9100,0.092581
9200,0.094085
9300,0.097425
9400,0.098217
9500,0.100453
9600,0.104485
9700,0.104585
9800,0.107299
9900,0.110471
10000,0.111113
